type,breed,color,sex,size,impound_number,kennel_number,id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,intake_total,date_of_birth,name,zip_code,:@computed_region_dig5_f3vy,outcome_jurisdiction,ano
Other,Rabbit Sh,Black/White,Neutered,SMALL,K23-043808,CA01,A415410,2023-02-07,2023-05-06,88,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2021-08-18T00:00:00.000,*STRIPES,95403,26076,SANTA ROSA,2023
Cat,Domestic Mh,Black,Male,KITTN,K18-028435,CI01,A373009,2018-05-29,2018-05-30,1,Stray,OVER THE COUNTER,Transfer,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,1,2018-03-29T00:00:00.000,,95407,26079,COUNTY,2018
Cat,Domestic Sh,Black/White,Neutered,KITTN,K15-016371,CS06,A328262,2015-10-13,2015-10-16,3,Stray,OVER THE COUNTER,Return To Owner,COMMCAT,HEALTHY,HEALTHY,SANTA ROSA,1,2015-08-13T00:00:00.000,,95409,26080,SANTA ROSA,2015
Dog,Pekingese,Black/Tan,Male,SMALL,K22-042276,TRUCK,A412912,2022-08-18,2022-08-18,0,Stray,FIELD,Euthanize,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,1,,,,,,2022
Dog,Chihuahua Lh/Mix,White/Black,Female,TOY,K16-021493,DS85,A344847,2016-11-08,2016-11-17,9,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,TREATABLE/REHAB,HEALTHY,*WINDSOR,1,,CHINCHI,95492,31428,*WINDSOR,2016
Dog,Yorkshire Terr/Mix,Black/Gray,Female,SMALL,K18-029678,DS96,A375685,2018-08-31,2018-09-06,6,Confiscate,FLD_ARREST,Return To Owner,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,1,,BEBOP,95402,26077,SANTA ROSA,2018
Dog,Siberian Husky,Black/White,Neutered,LARGE,K17-022925,DA40,A349982,2017-03-26,2017-04-18,23,Stray,FIELD,Adoption,WALKIN,HEALTHY,HEALTHY,COUNTY,1,2014-04-17T00:00:00.000,*CLYDE,95403,26076,COUNTY,2017
Cat,Domestic Mh,Orange,Neutered,SMALL,K15-016942,CS06,A329920,2015-12-01,2015-12-04,3,Stray,FIELD,Transfer,FORGOTTEN,HEALTHY,HEALTHY,SANTA ROSA,1,,,95403,26076,SANTA ROSA,2015
Dog,Germ Shepherd/Mix,Tan/Black,Neutered,MED,K17-023143,DA29,A351162,2017-04-15,2017-05-31,46,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,COUNTY,1,2016-04-15T00:00:00.000,*TRIGGER,95441,23750,COUNTY,2017
Cat,Domestic Mh,Brn Tabby,Unknown,SMALL,K21-038166,CS06,A403407,2021-04-01,2021-04-08,7,Stray,PHONE,Euthanize,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,1,,,,,,2021
Dog,Dutch Shepherd/Rottweiler,Br Brindle,Female,LARGE,K19-031360,DS88,A384174,2019-02-02,2019-02-05,3,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,COUNTY,1,2018-04-05T00:00:00.000,SHEVA,95446,23755,COUNTY,2019
Cat,Domestic Lh,Gray,Neutered,SMALL,K19-031505,CS06,A384493,2019-02-21,2019-02-22,1,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,*WINDSOR,1,2002-02-22T00:00:00.000,KAIO,95492,31428,*WINDSOR,2019
Cat,Domestic Sh,Gray Tabby,Spayed,SMALL,K16-021587,CA02,A345439,2016-11-16,2016-12-02,16,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2014-05-23T00:00:00.000,LEAH,95472,31039,COUNTY,2016
Cat,Domestic Sh,Org Tabby,Neutered,SMALL,K22-042914,CA02,A413791,2022-10-21,2022-12-20,60,Confiscate,FIELD,Adoption,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,1,2022-05-21T00:00:00.000,*CARL,95409,26080,SANTA ROSA,2022
Cat,Domestic Sh,Brn Tabby/White,Spayed,SMALL,K17-025900,CS05,A362699,2017-10-18,2017-10-31,13,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,*WINDSOR,1,,TILLY,95403,26076,COUNTY,2017
Dog,Siberian Husky,White,Male,MED,K20-037430,DQ112,A401575,2020-11-28,2020-12-17,19,Stray,FIELD,Euthanize,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,1,2019-11-28T00:00:00.000,,,,,2020
Dog,Labrador Retr/Mix,Black/White,Male,LARGE,K14-008929,DS67,A307038,2014-05-21,2014-06-11,21,Owner Surrender,OVER THE COUNTER,Euthanize,BEH SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,1,2013-05-21T00:00:00.000,CHIEF,,,,2014
